,name,artist,release_date,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,Always Like This,Bombay Bicycle Club,2009-01-01,0,0.659,0.441,0.659,0.591,0.000861,0.0862,-6.713,0.0313,121.14,4,0.707
1,How Can You Swallow So Much Sleep,Bombay Bicycle Club,2011-01-01,0,0.517,0.396,0.517,0.827,0.188,0.105,-6.616,0.0467,119.987,4,0.206
2,Shuffle,Bombay Bicycle Club,2011-01-01,0,0.634,0.298,0.634,0.934,0.00374,0.163,-4.824,0.0298,110.015,4,0.547
3,"Lights Out, Words Gone",Bombay Bicycle Club,2011-01-01,0,0.653,0.587,0.653,0.76,0.408,0.105,-7.301,0.0304,105.999,4,0.657
4,I Go I Go I Go,Wave Machines,2009-06-14,0,0.769,0.0481,0.769,0.696,0.374,0.0571,-5.118,0.0546,127.03,4,0.833
5,Clear Island,Liars,2007-08-20,0,0.512,0.254,0.512,0.741,7.14e-06,0.418,-6.816,0.081,132.983,4,0.338
6,Suburbia,Pet Shop Boys,1998-03-31,53,0.53,0.0403,0.53,0.873,0.000118,0.119,-10.572,0.0433,126.16,4,0.456
7,Man I Need,Jagwar Ma,2013-06-11,0,0.542,0.00856,0.542,0.946,5.38e-06,0.386,-6.307,0.0505,108.496,4,0.388
8,Frenchy I'm Faking,Architecture In Helsinki,2005-04-05,30,0.433,0.534,0.433,0.527,0.00741,0.265,-5.828,0.0615,169.092,4,0.518
9,I Wanna Get Better,Bleachers,2014-02-18,52,0.456,0.00266,0.456,0.891,7.99e-06,0.281,-7.004,0.106,190.024,4,0.385
10,Come Home,CHAPPO,2010-04-23,29,0.506,0.0098,0.506,0.925,0.163,0.0518,-2.475,0.0328,141.997,4,0.673
11,Pompeii,Bastille,2013-01-01,74,0.679,0.0755,0.679,0.715,0.0,0.271,-6.383,0.0407,127.435,4,0.571
12,Agora,Bear Hands,2014-01-28,0,0.735,0.179,0.735,0.582,0.0209,0.357,-5.159,0.0277,97.581,4,0.76
13,Time to Dance - Original Version,The Shoes,2012-10-22,0,0.606,0.0161,0.606,0.98,7.42e-05,0.456,-6.886,0.0603,143.989,4,0.771
14,Keys,Hooray For Earth,2014-05-06,0,0.568,0.00805,0.568,0.949,0.421,0.0854,-4.337,0.0744,87.48,4,0.646
15,Young Love (feat. Laura Marling),Mystery Jets,2008-03-21,55,0.63,0.141,0.63,0.942,2.12e-06,0.0958,-5.186,0.0869,136.155,4,0.753
16,Teenage Rhythm,GRMLN,2013-06-04,27,0.142,3.15e-06,0.142,0.894,0.805,0.284,-4.978,0.0571,172.594,4,0.391
17,Back To The Shack,Weezer,2014-07-22,0,0.435,0.00605,0.435,0.706,7.25e-05,0.119,-5.31,0.0428,171.913,4,0.658
18,Bitter Sweet Symphony,The Verve,2004-01-01,60,0.356,0.0339,0.356,0.913,0.0,0.221,-6.015,0.0499,171.157,4,0.537
19,"Yoshimi Battles the Pink Robots, Pt. 1",The Flaming Lips,2002-05-13,60,0.555,0.337,0.555,0.902,0.0,0.152,-7.918,0.0958,156.108,4,0.62
20,Australia,The Shins,2007-01-23,0,0.434,0.00442,0.434,0.842,0.000142,0.308,-4.468,0.038,169.935,4,0.838
21,Heavy Metal Drummer,Wilco,2002-04-16,57,0.661,0.0257,0.661,0.66,0.00977,0.256,-9.061,0.0373,120.617,4,0.814
22,Oxford Comma,Vampire Weekend,2008-01-29,5,0.694,0.114,0.694,0.711,0.00124,0.0433,-4.237,0.0517,119.516,4,0.974
23,Cut Your Hair (Remastered),Pavement,2010-03-09,0,0.469,0.00554,0.469,0.825,0.00199,0.133,-6.612,0.0319,110.839,4,0.659
24,"July, July!",The Decemberists,2002-05-21,0,0.27,0.0204,0.27,0.878,4.26e-06,0.142,-5.645,0.0696,123.01,4,0.495
25,Rill Rill,Sleigh Bells,2010-05-21,43,0.483,0.0356,0.483,0.804,1.6e-06,0.0736,-3.452,0.0501,73.048,4,0.811
26,House of Gold,Twenty One Pilots,2013-01-08,70,0.68,0.445,0.68,0.693,0.0,0.208,-7.234,0.0435,114.948,4,0.851
27,Primavera Now,Tunacola,2013-07-22,0,0.6,0.245,0.6,0.71,0.0,0.0875,-5.893,0.0837,90.171,4,0.908
28,West Coast,Coconut Records,2007-04-17,0,0.531,0.399,0.531,0.582,6.01e-05,0.0541,-6.363,0.0259,80.046,1,0.357
29,Bad Kids,Black Lips,2007-09-11,0,0.352,0.0493,0.352,0.796,0.0,0.226,-7.109,0.0374,204.225,4,0.924
30,Zombie,Jamie T,2014-09-09,0,0.546,0.0135,0.546,0.911,0.0,0.493,-4.639,0.0729,145.205,4,0.678
31,Brill Bruisers,The New Pornographers,2014-08-25,0,0.418,0.041,0.418,0.92,0.0,0.251,-4.663,0.0392,160.133,4,0.725
32,Salad Days,Mac DeMarco,2014-04-01,65,0.43,0.0876,0.43,0.771,0.0239,0.121,-7.176,0.0375,201.001,4,0.772
33,Trátame Suavemente - Remasterizado 2007,Soda Stereo,2007-06-28,57,0.738,0.0401,0.738,0.789,0.0647,0.632,-4.009,0.0283,122.852,4,0.539
34,The Beatles,Devendra Banhart,2005-09-19,0,0.543,0.891,0.543,0.426,0.000248,0.168,-11.389,0.0549,118.814,4,0.499
35,Santa Maria de Feira,Devendra Banhart,2005-09-19,0,0.542,0.933,0.542,0.377,0.319,0.15,-12.211,0.033,107.113,4,0.729
36,The Sweetest Thing,Camera Obscura,2009-04-20,4,0.395,0.046,0.395,0.823,9.38e-06,0.234,-4.42,0.0404,126.38,4,0.632
37,French Navy,Camera Obscura,2009-04-20,3,0.434,0.0105,0.434,0.853,0.0,0.214,-4.05,0.0432,136.997,4,0.668
38,High and Dry,Radiohead,2008-04-07,0,0.418,0.0718,0.418,0.383,0.0177,0.0896,-11.782,0.0257,87.773,4,0.352
39,5 Years Time,Noah And The Whale,2008-01-01,0,0.803,0.416,0.803,0.55,0.0,0.085,-7.105,0.105,121.992,4,0.763
40,Estos Días,Alejandro y Maria Laura,2011,0,0.792,0.522,0.792,0.471,0.136,0.0878,-13.876,0.0473,120.097,4,0.449
41,Love,Zoé,2003-11-19,69,0.692,0.208,0.692,0.512,0.000994,0.077,-8.596,0.0354,79.003,4,0.739
42,1234,Feist,2007,0,0.707,0.219,0.707,0.483,2.46e-06,0.0871,-7.578,0.0475,109.938,4,0.638
43,What I'm Looking For,Brendan Benson,2005-03-22,0,0.524,0.00288,0.524,0.752,0.000182,0.132,-9.341,0.036,134.11,4,0.685
44,"Mahna, Mahna",Cake,2007-11-13,46,0.742,0.213,0.742,0.483,0.471,0.0733,-11.369,0.155,89.883,4,0.638
45,Friday I'm In Love,The Cure,1992-04-21,0,0.526,0.00126,0.526,0.763,6.75e-05,0.359,-12.663,0.0341,136.205,4,0.514
46,Creep,Radiohead,1993-04-23,0,0.532,0.00563,0.532,0.344,0.000473,0.115,-13.057,0.035,91.834,4,0.126
47,Young Chasers,Circa Waves,2014-01-01,0,0.413,0.000561,0.413,0.897,0.00354,0.224,-3.312,0.0452,91.939,4,0.34
48,Class Historian,BRONCHO,2014-09-16,0,0.571,0.23,0.571,0.975,0.8,0.397,-4.097,0.0515,158.175,4,0.966
49,Swimming Pool Blues,Miniature Tigers,2014-06-13,0,0.415,0.00613,0.415,0.812,6.68e-06,0.0988,-5.42,0.0377,160.052,4,0.388
50,Giraffe,Miniature Tigers,2008-09-16,16,0.695,0.159,0.695,0.621,0.0,0.43,-3.538,0.0636,125.89,4,0.787
51,New Slang,The Shins,2001-06-19,0,0.669,0.605,0.669,0.389,0.16,0.0905,-11.547,0.0306,130.015,4,0.649
52,Australia,The Shins,2007-01-23,0,0.434,0.00442,0.434,0.842,0.000142,0.308,-4.468,0.038,169.935,4,0.838
